;Локальная тема;Описание
161;Несоблюдение требований к размещению информационных вывесок;Пункт 6 902-ПП. Нарушение архитектурно-художественной концепции.
162;Несоблюдение требований к размещению информационных вывесок;П. 6 902-ПП. Нарушение архитектурно-художественной концепции
163;Несоблюдение требований к размещению информационных вывесок;Нарушение п. 6 902-ПП. Баннер не предусмотрен архитектурно-художественной концепцией
164;Незаконная установка рекламной конструкции;Проверьте законность рекламных конструкций - Все от 500
165;Несоблюдение требований к размещению информационных вывесок;
166;Незаконная установка рекламной конструкции;Рекламные конструкции мешают проходу граждан, полотна конструкции при порыве ветра могут причинить травму глаз гражданам.
167;Несоблюдение требований к размещению информационных вывесок;Вывеска на глухой стене
168;Несоблюдение требований к размещению информационных вывесок;Вывески на вазонах.
169;Незаконная установка рекламной конструкции;Информационная конструкция на газоне.
170;Несоблюдение требований к размещению информационных вывесок;Прошу проверить конструкции на соответствие требованиям.
171;Незаконная установка рекламной конструкции;
172;Незаконная установка рекламной конструкции;"Спустя 3.5 месяца после сообщения №25333902 рекламная конструкция на остановке ""2-я Песчаная улица"" была размещена повторно. Демонтируйте пожалуйста"
173;Несоблюдение требований к размещению информационных вывесок;Несоблюдение 902-ПП. Вывески нарушают закон, даже если они располагаются за стеклом. Расположение вывески за стеклом не освобождает собственника помещения от ответственности. Необходимо выдать предписание собственнику на демонтаж отмеченных вывесок.
174;Несоблюдение требований к размещению информационных вывесок;Несоблюдение 902-ПП.
175;Несоблюдение требований к размещению информационных вывесок;Несоблюдение 902-ПП. Вывески нарушают закон, даже если они располагаются за стеклом. Расположение вывески за стеклом не освобождает собственника помещения от ответственности. Необходимо выдать предписание собственнику на демонтаж отмеченных вывесок.
176;Несоблюдение требований к размещению информационных вывесок;Незаконная реклама на фасаде здания 
177;Несоблюдение требований к размещению информационных вывесок;Несоблюдение 902-ПП. Вывески нарушают закон, даже если они располагаются за стеклом. Расположение вывески за стеклом не освобождает собственника помещения от ответственности. Необходимо выдать предписание собственнику на демонтаж отмеченных вывесок.
178;Несоблюдение требований к размещению информационных вывесок;Две незаконные вывески, нарушающие 902-ПП: первая на английском языке, что запрещено законом (если юрлицо на русском языке), вторая располагается на торцевой стене, что запрещено законом. Демонтировать.
179;Несоблюдение требований к размещению информационных вывесок;Вывески фото салона, студии красоты, ксерокопия, фото на документы и тд нарушение 902 ПП
180;Несоблюдение требований к размещению информационных вывесок;Вывески кухни и союзспецодежды на разном уровне. Буквы союзспецодежды больше чем фриз и выпивают за козырек.
181;Несоблюдение требований к размещению информационных вывесок;Просьба проверить рекламную конструкцию на несоблюдение требований к размещению информационных вывесок.
182;Несоблюдение требований к размещению информационных вывесок;Растяжка
183;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп
184;Несоблюдение требований к размещению информационных вывесок;Просьба проверить рекламную конструкцию на несоблюдение требований к размещению информационных вывесок.
185;Несоблюдение требований к размещению информационных вывесок;Конструкция не предусмотрена архитектурно-художественной концепцией
186;Незаконная установка рекламной конструкции;незаконные рекламные щиты
187;Незаконная установка рекламной конструкции;
188;Несоблюдение требований к размещению информационных вывесок;Консольная конструкция не предусмотрена архитектурно-художественной концепцией по улице Проспект Генерала Алексеева
189;Несоблюдение требований к размещению информационных вывесок;Лескова 6, просьба проверить вывески на магазинах на соответствии нормам
190;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп
191;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп
192;Несоблюдение требований к размещению информационных вывесок;размеры вывески не соответствуют 902 пп
193;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп
194;Несоблюдение требований к размещению информационных вывесок;Вывеска не соответствует 902 пп, висит вертикально
195;Несоблюдение требований к размещению информационных вывесок;Прошу проверить инфобаннер на соответствие 902-ПП
196;Несоблюдение требований к размещению информационных вывесок;Нарушение геометрических параметров, требований к местам размещения. Прошу проверить
197;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп
198;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп
199;Несоблюдение требований к размещению информационных вывесок;Информационная конструкция не на плоской подложке, прошу проверить на соответствие архитектурно-художественной концепции. Инофбаннер на двери размещён в нарушение п. 6 902-ПП.
200;Несоблюдение требований к размещению информационных вывесок;Прошу проверить на соответствие архитектурно-художественной концепции.
201;Несоблюдение требований к размещению информационных вывесок;Консольная конструкция не предусмотрена архитектурно-художественной концепцией по улице Проспект Генерала Алексеева
202;Несоблюдение требований к размещению информационных вывесок;Информационные конструкции не на плоской подложке, прошу проверить на соответствие архитектурно-художественной концепции. Консольная конструкция не предусмотрена.
203;Незаконная установка рекламной конструкции;
204;Несоблюдение требований к размещению информационных вывесок;Несоответствие архитектурно-художественной концепции, 902-ПП 
205;Несоблюдение требований к размещению информационных вывесок;Согласно архитектурно-художественной концепции, информационная конструкция должна располагаться с другой стороны от двери. Несоответствие п. 6 902-ПП.
206;Несоблюдение требований к размещению информационных вывесок;Нарушение правил установки вывесок
207;Несоблюдение требований к размещению информационных вывесок;Баннер не предусмотрен архитектурно-художественной концепцией по улице Проспект Генерала Алексеева
208;Несоблюдение требований к размещению информационных вывесок;Прошу проверить конструкции на соответствие архитектурно-художественной концепции. 
209;Несоблюдение требований к размещению информационных вывесок;Консольная конструкция не предусмотрена архитектурно-художественной концепцией. Прошу проверить табличку у двери на соответствие 902-ПП.
210;Несоблюдение требований к размещению информационных вывесок;Огромный рекламный баннер на строящемся здании отеля
211;Несоблюдение требований к размещению информационных вывесок;Информационная конструкция не предусмотрена архитектурно-художественной концепцией по улице Проспект Генерала Алексеева
212;Несоблюдение требований к размещению информационных вывесок;Информационные вывески: на кровле и по фасаду, требуют проверки. 
213;Несоблюдение требований к размещению информационных вывесок;размещение вывесок выше линии перекрытий между первым и вторым этажами, включая крыши.
214;Несоблюдение требований к размещению информационных вывесок;
215;Несоблюдение требований к размещению информационных вывесок;Незаконная реклама пива вблизи от школы
216;Несоблюдение требований к размещению информационных вывесок;"Консольные конструкции не расположены на единой горизонтальной оси (""Цветы продукты 24 часа"" значительно ниже)"
217;Несоблюдение требований к размещению информационных вывесок;"Консольные конструкции не расположены на единой горизонтальной оси. (""ВТБ"" значительно выше ""Сиа Нейлз"" и ""Милa"")"
218;Несоблюдение требований к размещению информационных вывесок;Витринные конструкции, занимающие более 50% витрин в пределах переплётов по высоте и ширине.
219;Незаконная установка рекламной конструкции;
220;Незаконная установка рекламной конструкции;Два незаконных штендера
221;Незаконная установка рекламной конструкции;Выносной рекламный стенд
222;Несоблюдение требований к размещению информационных вывесок;"Инфобаннер ""Цветы"" не соответствует архитектурно-художественной концепции"
223;Незаконная установка рекламной конструкции;Напротив Памятного камня постоянно размещают рекламную конструкцию.
224;Несоблюдение требований к размещению информационных вывесок;Консольная конструкция не соответствует архитектурно-художественной концепции
225;Ненадлежащее состояние рекламной конструкции;Опора покрыта вандальными надписями, необходимо очистить.
226;Несоблюдение требований к размещению информационных вывесок;Добрый день. Настоящим письмом выражаю своё уважение и спешу сообщить о незаконном размещении рекламного баннера. Прошу устранить. Заранее благодарю.
227;Несоблюдение требований к размещению информационных вывесок;Зелёный баннер аптеки перекрывает фасад здания и налегает на соседние магазины. Предлагаю убрать баннер и оставить только вывески с названиями, чтобы не портить фасад дома. 
228;Незаконная установка рекламной конструкции;Здравствуйте. Какая то реклама на заборе висит. 
229;Несоблюдение требований к размещению информационных вывесок;Просьба проверить рекламные конструкции на несоблюдение требований к размещению информационных вывесок.
230;Несоблюдение требований к размещению информационных вывесок;Ненормативные вывески 
231;Незаконная установка рекламной конструкции;"Рекламная конструкция размещённая на остановке ""Метро Полежаевская"" (на фото) установлена без разрешения. Демонтируйте пожалуйста"
232;Несоблюдение требований к размещению информационных вывесок;
233;Несоблюдение требований к размещению информационных вывесок;Не законно размещена рекламная конструкция ,портит фасад жилого дома ,прошу проверить законность размещения
234;Несоблюдение требований к размещению информационных вывесок;Просьба проверить рекламные конструкции на несоблюдение требований к размещению информационных вывесок.
235;Незаконная установка рекламной конструкции;
236;Несоблюдение требований к размещению информационных вывесок;Вывески не соответствуют 902 пп нарушены размеры, места размещения, используется банерная ткань
237;Несоблюдение требований к размещению информационных вывесок;Вывеска в виде рекламы на фасаде.
